id,sample_date,location,min_temp,max_temp,avg_temp
2119,2020-01-01,"Winnipeg, MB",-12.3,-3.5,-7.9
2120,2020-01-02,"Winnipeg, MB",-8.2,-6.0,-7.1
2121,2020-01-03,"Winnipeg, MB",-6.8,-1.0,-3.9
2122,2020-01-04,"Winnipeg, MB",-5.2,-3.4,-4.3
2123,2020-01-05,"Winnipeg, MB",-13.4,-1.6,-7.5
2124,2020-01-06,"Winnipeg, MB",-14.9,-0.1,-7.5
2125,2020-01-07,"Winnipeg, MB",-23.9,-8.9,-16.4
2126,2020-01-08,"Winnipeg, MB",-26.0,-15.0,-20.5
2127,2020-01-09,"Winnipeg, MB",-19.4,-11.1,-15.3
2128,2020-01-10,"Winnipeg, MB",-26.6,-15.6,-21.1
2129,2020-01-11,"Winnipeg, MB",-27.9,-15.9,-21.9
2130,2020-01-12,"Winnipeg, MB",-16.4,-9.2,-12.8
2131,2020-01-13,"Winnipeg, MB",-9.4,-5.9,-7.6
2132,2020-01-14,"Winnipeg, MB",-23.9,-8.9,-16.4
2133,2020-01-15,"Winnipeg, MB",-29.2,-21.3,-25.2
2134,2020-01-16,"Winnipeg, MB",-34.0,-21.8,-27.9
2135,2020-01-17,"Winnipeg, MB",-22.3,-5.8,-14.1
2136,2020-01-18,"Winnipeg, MB",-17.1,-6.1,-11.6
2137,2020-01-19,"Winnipeg, MB",-28.4,-14.7,-21.6
2138,2020-01-20,"Winnipeg, MB",-28.7,-16.9,-22.8
2139,2020-01-21,"Winnipeg, MB",-17.4,-8.1,-12.8
2140,2020-01-22,"Winnipeg, MB",-16.9,-3.5,-10.2
2141,2020-01-23,"Winnipeg, MB",-9.4,-5.5,-7.5
2142,2020-01-24,"Winnipeg, MB",-6.8,-5.1,-6.0
2143,2020-01-25,"Winnipeg, MB",-7.0,-5.1,-6.0
2144,2020-01-26,"Winnipeg, MB",-10.9,-6.8,-8.9
2145,2020-01-27,"Winnipeg, MB",-10.8,-8.2,-9.5
2146,2020-01-28,"Winnipeg, MB",-15.3,-9.5,-12.4
2147,2020-01-29,"Winnipeg, MB",-15.3,-7.4,-11.3
2148,2020-01-30,"Winnipeg, MB",-8.1,-4.1,-6.1
2149,2020-01-31,"Winnipeg, MB",-5.2,-2.1,-3.6
2090,2020-02-01,"Winnipeg, MB",-8.6,-0.6,-4.6
2091,2020-02-02,"Winnipeg, MB",-10.6,0.0,-5.3
2092,2020-02-03,"Winnipeg, MB",-20.9,-10.5,-15.7
2093,2020-02-04,"Winnipeg, MB",-21.6,-13.7,-17.6
2094,2020-02-05,"Winnipeg, MB",-16.3,-6.5,-11.4
2095,2020-02-06,"Winnipeg, MB",-23.9,-12.9,-18.4
2096,2020-02-07,"Winnipeg, MB",-30.5,-17.4,-23.9
2097,2020-02-08,"Winnipeg, MB",-18.3,-10.8,-14.6
